a	a!
akkoinke	a! k k o j n k' e
akku	a! k u
akku	a! k k u
akkua	a! k u a
akkua	a! k k u a
akoile	a! k o j l' e
akoin	a! k o j n
aktualizeh	a! k t u a l' i z' e h
akvalangistoin	a! k v a l a n g' i s t o j n
al	a! l
al'bert	a l' b' e! r t
al'boman	a! l' b o m a n
al'manahas	a! l' m a n a h a s
al'manuahah	a! l' m a n u a h a h
al'manuahu	a! l' m a n u a h u
al'umiiniikriukku	a! l' u m' i: n' i: k r' i u k u
al'umiiniikriukku	a! l' u m' i: n' i: k r' i u k k u
alah	a! l a h
alahan	a! l a h a n
alahazet	a! l a h a z' e t
alahpäi	a! l a h p' ae j
alalleh	a! l a l' e h
alalleh	a! l a l' l' e h
alandehele	a! l a n d' e h' e l' e
alasijoisgi	a! l a s' i j o j s g' i
alat	a! l a t
alači	a! l a ch i
aldo	a! l d o
alduo	a! l d u o
aleksandr	a l' e k s a! n d r
aleksandra	a l' e k s a! n d r a
aleksandral	a! l' e k s a n d r a l
aleksandralluo	a! l' e k s a n d r a l u o
aleksandralluo	a! l' e k s a n d r a l l u o
aleksandralpäi	a! l' e k s a n d r a l p' ae j
aleksandran	a! l' e k s a n d r a n
aleksandrovič	a l' e k s a! n d r o v' i ch
aleksandru	a l' e k s a! n d r u
aleksandrua	a! l' e k s a n d r u a
aleksandruhäi	a! l' e k s a n d r u h' ae j
aleksejevan	a! l' e k s' e j e v a n
aleksejevič	a l' e k s' e! j e v' i ch
aleksejevna	a l' e k s' e! j e v n a
alevu	a! l' e v u
alevui	a! l' e v u j
alevuo	a! l' e v u o
alevuttau	a! l' e v u t a u
alevuttau	a! l' e v u t t a u
algai	a! l g a j
alganuhes	a! l g a n u h' e s
algau	a! l g a u
algavui	a! l g a v u j
algu	a! l g u
algukluasois	a! l g u k l u a s o j s
algupohju	a! l g u p o h j u
alguu	a! l g u:
alitužesti	a! l' i t u zh e s t' i
allattih	a! l a t' i h
allattih	a! l l a t' i h
allattih	a! l a t' t' i h
allattih	a! l l a t' t' i h
alle	a! l' e
alle	a! l' l' e
alletah	a! l' e t a h
alletah	a! l' l' e t a h
allettih	a! l' e t' i h
allettih	a! l' l' e t' i h
allettih	a! l' e t' t' i h
allettih	a! l' l' e t' t' i h
alloimmo	a! l o j m o
alloimmo	a! l l o j m o
alloimmo	a! l o j m m o
alloimmo	a! l l o j m m o
alloin	a! l o j n
alloin	a! l l o j n
allon	a! l o n
allon	a! l l o n
allos	a! l o s
allos	a! l l o s
allun	a! l u n
allun	a! l l u n
alluparren	a! l u p a r' e n
alluparren	a! l l u p a r' e n
alluparren	a! l u p a r' r' e n
alluparren	a! l l u p a r' r' e n
allus	a! l u s
allus	a! l l u s
aloh	a! l o h
aloitiimmo	a! l o j t' i: m o
aloitiimmo	a! l o j t' i: m m o
aloittehes	a! l o j t' e h' e s
aloittehes	a! l o j t' t' e h' e s
aloveh	a! l o v' e h
alovehel	a! l o v' e h' e l
alustakse	a! l u s t a k s' e
ambui	a! m b u j
ambujii	a! m b u j i:
ambujua	a! m b u j u a
ambumah	a! m b u m a h
ambumattomiigi	a! m b u m a t o m' i: g' i
ambumattomiigi	a! m b u m a t t o m' i: g' i
ambunuh	a! m b u n u h
amerikan	a! m' e r' i k a n
amerikas	a! m' e r' i k a s
ammatti	a! m a t' i
ammatti	a! m m a t' i
ammatti	a! m a t' t' i
ammatti	a! m m a t' t' i
ammattih	a! m a t' i h
ammattih	a! m m a t' i h
ammattih	a! m a t' t' i h
ammattih	a! m m a t' t' i h
ammattii	a! m a t' i:
ammattii	a! m m a t' i:
ammattii	a! m a t' t' i:
ammattii	a! m m a t' t' i:
ammui	a! m u j
ammui	a! m m u j
ammuksii	a! m u k s' i:
ammuksii	a! m m u k s' i:
ammuldamah	a! m u l d a m a h
ammuldamah	a! m m u l d a m a h
ammundan	a! m u n d a n
ammundan	a! m m u n d a n
ammuttih	a! m u t' i h
ammuttih	a! m m u t' i h
ammuttih	a! m u t' t' i h
ammuttih	a! m m u t' t' i h
ammuttu	a! m u t u
ammuttu	a! m m u t u
ammuttu	a! m u t t u
ammuttu	a! m m u t t u
ammuttuloi	a! m u t u l o j
ammuttuloi	a! m m u t u l o j
ammuttuloi	a! m u t t u l o j
ammuttuloi	a! m m u t t u l o j
amos	a m o! s
amosal	a! m o s a l
an'a	a! n' a
an'n'oi	a! n' o j
an'n'oi	a! n' n' o j
an'uta	a! n' u t a
ananjevan	a! n a n j e v a n
andaa	a! n d a:
andakkah	a! n d a k a h
andakkah	a! n d a k k a h
andamah	a! n d a m a h
andanuh	a! n d a n u h
andau	a! n d a u
andimii	a! n d' i m' i:
andoi	a! n d o j
andrei	a n d r' e! j
andreja	a n d r' e! j a
andrusovas	a! n d r u s o v a s
andua	a! n d u a
anegdottoi	a! n' e g d o t o j
anegdottoi	a! n' e g d o t t o j
anna	a! n a
anna	a! n n a
annakkua	a! n a k u a
annakkua	a! n n a k u a
annakkua	a! n a k k u a
annakkua	a! n n a k k u a
annan	a! n a n
annan	a! n n a n
anneta	a! n' e t a
anneta	a! n' n' e t a
annetah	a! n' e t a h
annetah	a! n' n' e t a h
annetahhäi	a! n' e t a h' ae j
annetahhäi	a! n' n' e t a h' ae j
annetahhäi	a! n' e t a h' h' ae j
annetahhäi	a! n' n' e t a h' h' ae j
annettih	a! n' e t' i h
annettih	a! n' n' e t' i h
annettih	a! n' e t' t' i h
annettih	a! n' n' e t' t' i h
annettihgi	a! n' e t' i h g' i
annettihgi	a! n' n' e t' i h g' i
annettihgi	a! n' e t' t' i h g' i
annettihgi	a! n' n' e t' t' i h g' i
annettu	a! n' e t u
annettu	a! n' n' e t u
annettu	a! n' e t t u
annettu	a! n' n' e t t u
annoi	a! n o j
annoi	a! n n o j
annoimmo	a! n o j m o
annoimmo	a! n n o j m o
annoimmo	a! n o j m m o
annoimmo	a! n n o j m m o
annoin	a! n o j n
annoin	a! n n o j n
antologies	a! n t o l o g' i e s
antonovan	a! n t o n o v a n
antoško	a! n t o sh k o
antropolougien	a! n t r o p o l o u g' i e n
anukseh	a! n u k s' e h
anukselaine	a! n u k s' e l a j n' e
anukselazet	a! n u k s' e l a z' e t
anukselažis	a! n u k s' e l a zh i^ s
anuksen	a! n u k s' e n
anuksenjoven	a! n u k s' e n j o v' e n
anukses	a! n u k s' e s
anuksespäi	a! n u k s' e s p' ae j
anus	a! n u s
apreläl	a! p r' e l' ae l
arbailtih	a! r b a j l t' i h
arbaituksii	a! r b a j t u k s' i:
arbalittukoin	a! r b a l' i t u k o j n
arbalittukoin	a! r b a l' i t t u k o j n
ardoloil	a! r d o l o j l
arhiivan	a! r h' i: v a n
arhipov	a r h' i! p o v
arhipovan	a! r h' i p o v a n
arhitektuura	a! r h' i t' e k t u: r a
arina	a r' i! n a
arku	a! r k u
armahah	a! r m a h a h
armahal	a! r m a h a l
armahien	a! r m a h' i e n
armas	a! r m a s
armastu	a! r m a s t u
armiedu	a! r m' i e d u
armieh	a! r m' i e h
armiel	a! r m' i e l
armien	a! r m' i e n
armies	a! r m' i e s
armiespäi	a! r m' i e s p' ae j
armii	a! r m' i:
armiivuozi	a! r m' i: v u o z' i
armiivuvvet	a! r m' i: v u v' e t
armiivuvvet	a! r m' i: v u v' v' e t
armoittomat	a! r m o j t o m a t
armoittomat	a! r m o j t t o m a t
armoittomien	a! r m o j t o m' i e n
armoittomien	a! r m o j t t o m' i e n
armoittomile	a! r m o j t o m' i l' e
armoittomile	a! r m o j t t o m' i l' e
armoittomua	a! r m o j t o m u a
armoittomua	a! r m o j t t o m u a
art'un	a! r t' u n
arteli	a! r t' e l' i
artelil	a! r t' e l' i l
artelilleh	a! r t' e l' i l' e h
artelilleh	a! r t' e l' i l' l' e h
artistoi	a! r t' i s t o j
artur	a r t u! r
arvokkahambi	a! r v o k a h a m b' i
arvokkahambi	a! r v o k k a h a m b' i
arvos	a! r v o s
arvostamah	a! r v o s t a m a h
asfal'tal	a! s f a l' t a l
askelil	a! s k' e l' i l
astalmiehii	a! s t a l m' i e h' i:
astettu	a! s t' e t u
astettu	a! s t' e t t u
astieloi	a! s t' i e l o j
astieloin	a! s t' i e l o j n
astiet	a! s t' i e t
astu	a! s t u
astui	a! s t u j
astuimmo	a! s t u j m o
astuimmo	a! s t u j m m o
astuin	a! s t u j n
astujua	a! s t u j u a
astumah	a! s t u m a h
astummo	a! s t u m o
astummo	a! s t u m m o
astun	a! s t u n
astuo	a! s t u o
astutah	a! s t u t a h
astuttih	a! s t u t' i h
astuttih	a! s t u t' t' i h
astuu	a! s t u:
ateizmu	a! t' e j z m u
aterhanovan	a! t' e r h a n o v a n
atkalah	a! t k a l a h
autettih	a! u t' e t' i h
autettih	a! u t' e t' t' i h
autoh	a! u t o h
autohpäi	a! u t o h p' ae j
autoi	a! u t o j
auton	a! u t o n
autospäi	a! u t o s p' ae j
auttaa	a! u t a:
auttaa	a! u t t a:
auttajen	a! u t a j e n
auttajen	a! u t t a j e n
auttamah	a! u t a m a h
auttamah	a! u t t a m a h
auttanuh	a! u t a n u h
auttanuh	a! u t t a n u h
auttau	a! u t a u
auttau	a! u t t a u
auttoi	a! u t o j
auttoi	a! u t t o j
avai	a! v a j
availtavan	a! v a j l t a v a n
avain	a! v a j n
avaitto	a! v a j t o
avaitto	a! v a j t t o
avando	a! v a n d o
avatah	a! v a t a h
avattih	a! v a t' i h
avattih	a! v a t' t' i h
avavuu	a! v a v u:
avguanistuanas	a! v g u a n' i s t u a n a s
avgustal	a! v g u s t a l
avoi	a! v o j
avraam	a v r a:! m
avtalavku	a! v t a l a v k u
avtobussua	a! v t o b u s u a
avtobussua	a! v t o b u s s u a
avtolaukkah	a! v t o l a u k a h
avtolaukkah	a! v t o l a u k k a h
avtolaukku	a! v t o l a u k u
avtolaukku	a! v t o l a u k k u
avtomasterskoi	a! v t o m a s t' e r s k o j
avtomattua	a! v t o m a t u a
avtomattua	a! v t o m a t t u a
avtomuatoin	a! v t o m u a t o j n
avtoubussu	a! v t o u b u s u
avtoubussu	a! v t o u b u s s u
avuamattah	a! v u a m a t a h
avuamattah	a! v u a m a t t a h
avuammo	a! v u a m o
avuammo	a! v u a m m o
avuh	a! v u h
avul	a! v u l
avvoi	a! v o j
avvoi	a! v v o j
avvutakkua	a! v u t a k u a
avvutakkua	a! v v u t a k u a
avvutakkua	a! v u t a k k u a
avvutakkua	a! v v u t a k k u a
avvutammo	a! v u t a m o
avvutammo	a! v v u t a m o
avvutammo	a! v u t a m m o
avvutammo	a! v v u t a m m o
avvutella	a! v u t' e l a
avvutella	a! v v u t' e l a
avvutella	a! v u t' e l l a
avvutella	a! v v u t' e l l a
avvutetah	a! v u t' e t a h
avvutetah	a! v v u t' e t a h
avvutetahgo	a! v u t' e t a h g o
avvutetahgo	a! v v u t' e t a h g o
avvutettih	a! v u t' e t' i h
avvutettih	a! v v u t' e t' i h
avvutettih	a! v u t' e t' t' i h
avvutettih	a! v v u t' e t' t' i h
avvutettu	a! v u t' e t u
avvutettu	a! v v u t' e t u
avvutettu	a! v u t' e t t u
avvutettu	a! v v u t' e t t u
avvuttai	a! v u t a j
avvuttai	a! v v u t a j
avvuttai	a! v u t t a j
avvuttai	a! v v u t t a j
avvuttamah	a! v u t a m a h
avvuttamah	a! v v u t a m a h
avvuttamah	a! v u t t a m a h
avvuttamah	a! v v u t t a m a h
avvuttau	a! v u t a u
avvuttau	a! v v u t a u
avvuttau	a! v u t t a u
avvuttau	a! v v u t t a u
avvutti	a! v u t' i
avvutti	a! v v u t' i
avvutti	a! v u t' t' i
avvutti	a! v v u t' t' i
avvuttua	a! v u t u a
avvuttua	a! v v u t u a
avvuttua	a! v u t t u a
avvuttua	a! v v u t t u a
azerbaidžanaspäi	a! z' e r b a j d zh a n a s p' ae j
azetettih	a! z' e t' e t' i h
azetettih	a! z' e t' e t' t' i h
azetettu	a! z' e t' e t u
azetettu	a! z' e t' e t t u
azetetus	a! z' e t' e t u s
azettua	a! z' e t u a
azettua	a! z' e t t u a
azettuo	a! z' e t u o
azettuo	a! z' e t t u o
azettuu	a! z' e t u:
azettuu	a! z' e t t u:
azetu	a! z' e t u
azetui	a! z' e t u j
azetuin	a! z' e t u j n
azetundukohtahpäi	a! z' e t u n d u k o h t a h p' ae j
azieloih	a! z' i e l o j h
azietgi	a! z' i e t g' i
azii	a! z' i:
azu	a! z u
azua	a! z u a
azui	a! z u j
azuimmo	a! z u j m o
azuimmo	a! z u j m m o
azuin	a! z u j n
azukkua	a! z u k u a
azukkua	a! z u k k u a
azumah	a! z u m a h
azummo	a! z u m o
azummo	a! z u m m o
azun	a! z u n
azunuh	a! z u n u h
azuo	a! z u o
azut	a! z u t
azutah	a! z u t a h
azutgo	a! z u t g o
azuttaš	a! z u t a sh
azuttaš	a! z u t t a sh
azuttih	a! z u t' i h
azuttih	a! z u t' t' i h
azuttogo	a! z u t o g o
azuttogo	a! z u t t o g o
azuttu	a! z u t u
azuttu	a! z u t t u
azutut	a! z u t u t
azuu	a! z u:
ažno	a! zh n o
b	b e!
baabo	b a:! b o
baban	b a! b a n
babas	b a! b a s
babaspäi	b a! b a s p' ae j
babiloil	b a! b' i l o j l
babiloin	b a! b' i l o j n
babit	b a! b' i t
babižet	b a! b' i zh e t
babižil	b a! b' i zh i^ l
baboi	b a! b o j
ballada	b a l a! d a
ballada	b a! l l a d a
baržu	b a! r zh u
bat'uškal	b a! t' u sh k a l
bataljonnii	b a! t a l j o n' i:
bataljonnii	b a! t a l j o n' n' i:
bauhu	b a! u h u
bazari	b a! z a r' i
bazarii	b a! z a r' i:
belaja	b' e! l a j a
belomorskas	b' e! l o m o r s k a s
belorusiespäi	b' e! l o r u s' i e s p' ae j
benziniä	b' e! n z' i n' i ae
benzinkanistran	b' e! n z' i n k a n' i s t r a n
benzinäh	b' e! n z' i n' ae h
berega	b' i r' i g a!
bezopasnost'	b' i z a p a! s n a s' t'
biblien	b' i! b l' i e n
bilo	b' i! l o
biolougien	b' i! o l o u g' i e n
biostancieh	b' i! o s t a n ts i^ e h
bitonazeh	b' i! t o n a z' e h
bitonažen	b' i! t o n a zh e n
blahosloven'n'akse	b l a! h o s l o v' e n' a k s' e
blahosloven'n'akse	b l a! h o s l o v' e n' n' a k s' e
blahosloven'n'an	b l a! h o s l o v' e n' a n
blahosloven'n'an	b l a! h o s l o v' e n' n' a n
blahosloven'n'u	b l a! h o s l o v' e n' u
blahosloven'n'u	b l a! h o s l o v' e n' n' u
blahosloven'n'ua	b l a! h o s l o v' e n' u a
blahosloven'n'ua	b l a! h o s l o v' e n' n' u a
blahoslovii	b l a! h o s l o v' i:
blahoslovittih	b l a! h o s l o v' i t' i h
blahoslovittih	b l a! h o s l o v' i t' t' i h
blažin	b l a! zh i^ n
blesni	b l' e! s n' i
bogdanov	b o! g d a n o v
bogdanova	b o! g d a n o v a
bogdanovan	b o! g d a n o v a n
bohatan	b o! h a t a n
bohatat	b o! h a t a t
bohattu	b o! h a t u
bohattu	b o! h a t t u
bohatunnuttu	b o! h a t u n u t u
bohatunnuttu	b o! h a t u n n u t u
bohatunnuttu	b o! h a t u n u t t u
bohatunnuttu	b o! h a t u n n u t t u
bokas	b o! k a s
bokkah	b o! k a h
bokkah	b o! k k a h
bokkulaijat	b o! k u l a j a t
bokkulaijat	b o! k k u l a j a t
bokkuseinän	b o! k u s' e j n' ae n
bokkuseinän	b o! k k u s' e j n' ae n
bol'ničan	b o! l' n' i ch a n
bol'ničnoloin	b o! l' n' i ch n o l o j n
bol'ničöi	b o! l' n' i ch oe j
bol'niččah	b o! l' n' i ch a h
bol'niččah	b o! l' n' i ch ch a h
bol'ničču	b o! l' n' i ch u
bol'ničču	b o! l' n' i ch ch u
bol'noit	b o! l' n o j t
boleinnuh	b o! l' e j n u h
boleinnuh	b o! l' e j n n u h
boleinuh	b o! l' e j n u h
boleittih	b o! l' e j t' i h
boleittih	b o! l' e j t' t' i h
boleiččou	b o! l' e j ch o u
boleiččou	b o! l' e j ch ch o u
bolezniloi	b o! l' e z n' i l o j
boltovn'a	b o! l t o v n' a
bolšaja	b a l sh a! j a
bolšois	b o! l sh o j s
bombu	b o! m b u
bor'a	b o! r' a
borduvärilöih	b o! r d u v' ae r' i l' oe j h
brat	b r a! t
brendojevan	b r' e! n d o j e v a n
brendojevua	b r' e! n d o j e v u a
briguadah	b r' i! g u a d a h
briguadas	b r' i! g u a d a s
briha	b r' i! h a
brihah	b r' i! h a h
brihačukse	b r' i! h a ch u k s' e
brihačun	b r' i! h a ch u n
brihačunnu	b r' i! h a ch u n u
brihačunnu	b r' i! h a ch u n n u
brihačut	b r' i! h a ch u t
brihačču	b r' i! h a ch u
brihačču	b r' i! h a ch ch u
brihaččuh	b r' i! h a ch u h
brihaččuh	b r' i! h a ch ch u h
brihaččuine	b r' i! h a ch u j n' e
brihaččuine	b r' i! h a ch ch u j n' e
brihaččulapsen	b r' i! h a ch u l a p s' e n
brihaččulapsen	b r' i! h a ch ch u l a p s' e n
brihaččuloi	b r' i! h a ch u l o j
brihaččuloi	b r' i! h a ch ch u l o j
brihaččuloin	b r' i! h a ch u l o j n
brihaččuloin	b r' i! h a ch ch u l o j n
brihaččuloinke	b r' i! h a ch u l o j n k' e
brihaččuloinke	b r' i! h a ch ch u l o j n k' e
brihaččuu	b r' i! h a ch u:
brihaččuu	b r' i! h a ch ch u:
bruja	b r u! j a
bruusus	b r u:! s u s
buabal	b u! a b a l
buaballou	b u! a b a l o u
buaballou	b u! a b a l l o u
buaban	b u! a b a n
buabanke	b u! a b a n k' e
buabat	b u! a b a t
buabo	b u! a b o
buaboi	b u! a b o j
buaboit	b u! a b o j t
buaboloih	b u! a b o l o j h
buaboloin	b u! a b o l o j n
buabua	b u! a b u a
bubnuvaliettu	b u! b n u v a l' i e t u
bubnuvaliettu	b u! b n u v a l' i e t t u
buite	b u! j t' e
buitegi	b u! j t' e g' i
buitegu	b u! j t' e g u
buiteku	b u! j t' e k u
buitogu	b u! j t o g u
bukinale	b u! k' i n a l' e
bul'kua	b u! l' k u a
bumuagal	b u! m u a g a l
bumuagat	b u! m u a g a t
bumuagoi	b u! m u a g o j
bumuagois	b u! m u a g o j s
bumuagu	b u! m u a g u
bunukal	b u! n u k a l
bunukan	b u! n u k a n
bunukas	b u! n u k a s
bunukat	b u! n u k a t
bunukkoi	b u! n u k o j
bunukkoi	b u! n u k k o j
bunukku	b u! n u k u
bunukku	b u! n u k k u
bunukkua	b u! n u k u a
bunukkua	b u! n u k k u a
buolua	b u! o l u a
burahtih	b u! r a h t' i h
burbettau	b u! r b' e t a u
burbettau	b u! r b' e t t a u
burhatah	b u! r h a t a h
burhuau	b u! r h u a u
butilkažii	b u! t' i l k a zh i^:
butilkažis	b u! t' i l k a zh i^ s
butilku	b u! t' i l k u
butkan	b u! t k a n
byliinat	b' y! l' i: n a t
bärbättäjen	b' ae! r b' ae t' ae j e n
bärbättäjen	b' ae! r b' ae t' t' ae j e n
börizendy	b' oe! r' i z' e n d' y
cilindraizen	ts i^! l' i n d r a j z' e n
cökkättyy	ts oe! k' ae t' y:
cökkättyy	ts oe! k' k' ae t' y:
cökkättyy	ts oe! k' ae t' t' y:
cökkättyy	ts oe! k' k' ae t' t' y:
d'ad'a	d' a! d' a
d'agaa	d' a! g a:
d'algimäi	d' a! l g' i m' ae j
d'algimäine	d' a! l g' i m' ae j n' e
d'algoih	d' a! l g o j h
d'allai	d' a! l a j
d'allai	d' a! l l a j
d'alles	d' a! l' e s
d'alles	d' a! l' l' e s
d'allespäi	d' a! l' e s p' ae j
d'allespäi	d' a! l' l' e s p' ae j
d'alloin	d' a! l o j n
d'alloin	d' a! l l o j n
d'arilleh	d' a! r' i l' e h
d'arilleh	d' a! r' i l' l' e h
d'arvel	d' a! r v' e l
d'attäs	d' a! t' ae s
d'attäs	d' a! t' t' ae s
d'engah	d' e! n g a h
d'engat	d' e! n g a t
d'engoih	d' e! n g o j h
d'engu	d' e! n g u
d'engua	d' e! n g u a
d'essoilah	d' e! s o j l a h
d'essoilah	d' e! s s o j l a h
d'essoilas	d' e! s o j l a s
d'essoilas	d' e! s s o j l a s
d'essoilu	d' e! s o j l u
d'essoilu	d' e! s s o j l u
d'ev'atoje	d' i v' a! t a i
d'iä	d' i! ae
d'o	d' o!
d'oga	d' o! g a
d'ogessah	d' o! g' e s a h
d'ogessah	d' o! g' e s s a h
d'ogirandah	d' o! g' i r a n d a h
d'oimmo	d' o! j m o
d'oimmo	d' o! j m m o
d'ongoi	d' o! n g o j
d'ongöi	d' o! n g' oe j
d'oukko	d' o! u k o
d'oukko	d' o! u k k o
d'ovel	d' o! v' e l
d'ugei	d' u! g' e j
d'uommo	d' u! o m o
d'uommo	d' u! o m m o
d'ygei	d' y! g' e j
d'äi	d' ae! j
d'äimmö	d' ae! j m' oe
d'äimmö	d' ae! j m' m' oe
d'älles	d' ae! l' e s
d'älles	d' ae! l' l' e s
da	d a!
daa	d a:!
daaa	d a:!
dabakkua	d a! b a k u a
dabakkua	d a! b a k k u a
dai	d a! j
daigi	d a! j g' i
dak	d a! k
danilov	d a n' i! l o v
darina	d a! r' i n a
davai	d a v a! j
dačniekat	d a! ch n' i e k a t
daže	d a! zh e
delat'	d' e! l a t'
den'	d' e! n'
den'gah	d' e! n' g a h
den'goih	d' e! n' g o j h
dengua	d' e! n g u a
derevni	d' i r' e! v n' i
deržavin	d' e! r zh a v' i n
deržavinah	d' e! r zh a v' i n a h
deržavinan	d' e! r zh a v' i n a n
des'	d' e! s'
des'atoin	d' e! s' a t o j n
desätije	d' e! s' ae t' i j e
devišniekoin	d' e! v' i sh n' i e k o j n
devätogo	d' e! v' ae t o g o
died'oi	d' i! e d' o j
died'oigi	d' i! e d' o j g' i
died'oihäi	d' i! e d' o j h' ae j
died'oil	d' i! e d' o j l
died'oin	d' i! e d' o j n
died'oit	d' i! e d' o j t
diedämdiedöi	d' i! e d' ae m d' i e d' oe j
diedöispäi	d' i! e d' oe j s p' ae j
dielo	d' i! e l o
dieloh	d' i! e l o h
dielol	d' i! e l o l
dieloloi	d' i! e l o l o j
dieloloih	d' i! e l o l o j h
dieloloin	d' i! e l o l o j n
dielon	d' i! e l o n
dielos	d' i! e l o s
dielot	d' i! e l o t
dieluo	d' i! e l u o
diivihes	d' i:! v' i h' e s
diivimmös	d' i:! v' i m' oe s
diivimmös	d' i:! v' i m' m' oe s
diplom	d' i p l o! m
diploman	d' i! p l o m a n
diplomu	d' i! p l o m u
direktor	d' i r' e! k t a r
direktora	d' i r' e! k t a r a
direktorakse	d' i! r' e k t o r a k s' e
direktorua	d' i! r' e k t o r u a
divanal	d' i! v a n a l
diviiziedy	d' i! v' i: z' i e d' y
diviizies	d' i! v' i: z' i e s
divizii	d' i! v' i z' i:
diädih	d' i! ae d' i h
diädällöy	d' i! ae d' ae l' oe y
diädällöy	d' i! ae d' ae l' l' oe y
diädän	d' i! ae d' ae n
diädät	d' i! ae d' ae t
diädö	d' i! ae d' oe
diäjäh	d' i! ae j ae h
diän	d' i! ae n
diännyh	d' i! ae n' y h
diännyh	d' i! ae n' n' y h
diäs	d' i! ae s
dl'a	d l' a!
dmitrii	d m' i! t r' i:
dmitrijev	d m' i! t r' i j e v
do	d o!
dobrovol'no	d a b r a v o! l' n a
dogadin	d o! g a d' i n
dojarkannu	d o! j a r k a n u
dojarkannu	d o! j a r k a n n u
dojarkat	d o! j a r k a t
dokumentat	d o! k u m' e n t a t
doli	d o! l' i
dom	d o! m
doprizivnikat	d o! p r' i z' i v n' i k a t
dorogah	d o! r o g a h
dorogal	d o! r o g a l
dorogale	d o! r o g a l' e
dorogan	d o! r o g a n
dorogas	d o! r o g a s
dorogat	d o! r o g a t
dorogažet	d o! r o g a zh e t
dorogoi	d o! r o g o j
dorogoin	d o! r o g o j n
dorogu	d o! r o g u
dorogua	d o! r o g u a
dorogučuuruh	d o! r o g u ch u: r u h
dorožnois	d o! r o zh n o j s
dorožnoispäi	d o! r o zh n o j s p' ae j
dostalii	d o! s t a l' i:
dostalikse	d o! s t a l' i k s' e
dostalit	d o! s t a l' i t
dovarišal	d o! v a r' i sh a l
dovarišalluo	d o! v a r' i sh a l u o
dovarišalluo	d o! v a r' i sh a l l u o
dovarišoikse	d o! v a r' i sh o j k s' e
dovariššu	d o! v a r' i sh u
dovariššu	d o! v a r' i sh sh u
družiimmo	d r u! zh i^: m o
družiimmo	d r u! zh i^: m m o
družno	d r u! zh n o
duaččuniekat	d u! a ch u n' i e k a t
duaččuniekat	d u! a ch ch u n' i e k a t
dubalov	d u! b a l o v
dubalovanke	d u! b a l o v a n k' e
